number,name,year,pic,dnt,rat,desc,footer,v_g
23.,Coco,(I) (2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"U 105 min Animation, Adventure, Comedy",8.5     Rate this            1 2 3 4 5 6 7 8 9 10  8.5/10 X      81  Metascore,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Directors:Lee Unkrich, Adrian Molina, Stars:Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Votes:159,897 Gross:$209.69M"
24.,The Fate of the Furious,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 136 min Action, Crime, Thriller",6.7     Rate this            1 2 3 4 5 6 7 8 9 10  6.7/10 X      56  Metascore,"
When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","Director:F. Gary Gray, Stars:Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez","Votes:158,714 Gross:$226.01M"
25.,Life,(I) (2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 104 min Horror, Sci-Fi, Thriller",6.6     Rate this            1 2 3 4 5 6 7 8 9 10  6.6/10 X      54  Metascore,"
A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.","Director:Daniel Espinosa, Stars:Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds, Hiroyuki Sanada","Votes:154,998 Gross:$30.23M"
26.,Ghost in the Shell,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 107 min Action, Crime, Drama",6.4     Rate this            1 2 3 4 5 6 7 8 9 10  6.4/10 X      52  Metascore,"
In the near future, Major is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.","Director:Rupert Sanders, Stars:Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche","Votes:150,185 Gross:$40.53M"
27.,Jumanji: Welcome to the Jungle,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"UA 119 min Action, Adventure, Comedy",7.0     Rate this            1 2 3 4 5 6 7 8 9 10  7/10 X      58  Metascore,"
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","Director:Jake Kasdan, Stars:Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black","Votes:145,566 Gross:$404.01M"
28.,King Arthur: Legend of the Sword,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 126 min Action, Adventure, Drama",6.8     Rate this            1 2 3 4 5 6 7 8 9 10  6.8/10 X      41  Metascore,"
Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.","Director:Guy Ritchie, Stars:Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou","Votes:145,504 Gross:$39.18M"
29.,The Mummy,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 110 min Action, Adventure, Fantasy",5.5     Rate this            1 2 3 4 5 6 7 8 9 10  5.5/10 X      34  Metascore,"
An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","Director:Alex Kurtzman, Stars:Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe","Votes:129,921 Gross:$80.10M"
30.,Murder on the Orient Express,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"UA 114 min Crime, Drama, Mystery",6.6     Rate this            1 2 3 4 5 6 7 8 9 10  6.6/10 X      52  Metascore,"
When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case.","Director:Kenneth Branagh, Stars:Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench","Votes:129,536 Gross:$102.83M"
31.,The Hitman's Bodyguard,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 118 min Action, Comedy, Thriller",6.9     Rate this            1 2 3 4 5 6 7 8 9 10  6.9/10 X      47  Metascore,"
The world's top bodyguard gets a new client, a hit man who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","Director:Patrick Hughes, Stars:Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung","Votes:125,631 Gross:$75.47M"
32.,Bright,(I) (2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"117 min Action, Crime, Fantasy",6.4     Rate this            1 2 3 4 5 6 7 8 9 10  6.4/10 X      29  Metascore,"
Set in a world where fantasy creatures live side by side with humans. A human cop is forced to work with an Orc to find a weapon everyone is prepared to kill for.","Director:David Ayer, Stars:Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramírez","Votes:123,276"
